flight_number,name,date_utc,success,status,rocket,mission_type,orbit,pad,location,details,wikipedia,webcast
,Starship SN10 | 10 km Flight,2021-03-03T23:15:00Z,True,Launch Successful,Starship Prototype,Test Flight,Suborbital,Suborbital Pad A,"SpaceX Starbase, TX, USA","The SN10 Starship performed a test flight similar to SN8 and SN9. It launched up to an altitude of 10 km or 33,000 ft, did a belly flop maneuver followed by a controlled descent to the landing pad. Despite successfully performing the landing flip maneuver with its three Raptor engines, its vertical velocity was too high on landing, damaging its structure and resulting in an explosive destruction a few minutes after touchdown.",,
6055,Falcon 9 Block 5 | Starlink 17,2021-03-04T08:24:54Z,True,Launch Successful,Falcon 9,Communications,Low Earth Orbit,Launch Complex 39A,"Kennedy Space Center, FL, USA",A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,
6056,Falcon 9 Block 5 | Starlink 20,2021-03-11T08:13:29Z,True,Launch Successful,Falcon 9,Communications,Low Earth Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,
6059,Falcon 9 Block 5 | Starlink 21,2021-03-14T10:01:26Z,True,Launch Successful,Falcon 9,Communications,Low Earth Orbit,Launch Complex 39A,"Kennedy Space Center, FL, USA",A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,
6062,Falcon 9 Block 5 | Starlink 22,2021-03-24T08:28:00Z,True,Launch Successful,Falcon 9,Communications,Low Earth Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,
,Starship SN11 | 10 km Flight,2021-03-30T13:00:00Z,False,Launch Failure,Starship Prototype,Test Flight,Suborbital,Suborbital Pad B,"SpaceX Starbase, TX, USA","The SN11 Starship prototype performed a test flight similar to SN8, SN9 and SN10. It launched up to an altitude of 10 km or 33,000 ft and did a belly flop maneuver followed by a controlled descent, but got destroyed during the landing maneuver.",,
6065,Falcon 9 Block 5 | Starlink 23,2021-04-07T16:34:00Z,True,Launch Successful,Falcon 9,Communications,Low Earth Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,
6068,Falcon 9 Block 5 | Crew-2,2021-04-23T09:49:02Z,True,Launch Successful,Falcon 9,Human Exploration,Low Earth Orbit,Launch Complex 39A,"Kennedy Space Center, FL, USA",SpaceX Crew-2 is the second crewed operational flight of a Crew Dragon spacecraft to the International Space Station as part of NASA's Commercial Crew Program. It used the same Falcon 9 first stage as the Crew-1 mission and the same Crew Dragon capsule as the Demo-2 mission (Endeavour).,,
6074,Falcon 9 Block 5 | Starlink 24,2021-04-29T03:44:30Z,True,Launch Successful,Falcon 9,Communications,Low Earth Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,
6076,Falcon 9 Block 5 | Starlink 25,2021-05-04T19:01:00Z,True,Launch Successful,Falcon 9,Communications,Low Earth Orbit,Launch Complex 39A,"Kennedy Space Center, FL, USA",A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,
