from_utc,to_utc,forecast_gco2_kwh,actual_gco2_kwh,index
2026-05-13T14:00Z,2026-05-13T14:30Z,74,97,moderate
2026-05-13T14:30Z,2026-05-13T15:00Z,84,106,moderate
2026-05-13T15:00Z,2026-05-13T15:30Z,93,116,moderate
2026-05-13T15:30Z,2026-05-13T16:00Z,103,132,moderate
2026-05-13T16:00Z,2026-05-13T16:30Z,119,145,moderate
2026-05-13T16:30Z,2026-05-13T17:00Z,129,149,moderate
2026-05-13T17:00Z,2026-05-13T17:30Z,142,162,moderate
2026-05-13T17:30Z,2026-05-13T18:00Z,158,163,moderate
2026-05-13T18:00Z,2026-05-13T18:30Z,161,165,moderate
2026-05-13T18:30Z,2026-05-13T19:00Z,172,163,moderate
2026-05-13T19:00Z,2026-05-13T19:30Z,177,164,moderate
2026-05-13T19:30Z,2026-05-13T20:00Z,167,166,moderate
2026-05-13T20:00Z,2026-05-13T20:30Z,174,163,moderate
2026-05-13T20:30Z,2026-05-13T21:00Z,173,167,moderate
2026-05-13T21:00Z,2026-05-13T21:30Z,155,161,moderate
2026-05-13T21:30Z,2026-05-13T22:00Z,162,132,moderate
2026-05-13T22:00Z,2026-05-13T22:30Z,156,115,moderate
2026-05-13T22:30Z,2026-05-13T23:00Z,128,104,moderate
2026-05-13T23:00Z,2026-05-13T23:30Z,123,92,moderate
2026-05-13T23:30Z,2026-05-14T00:00Z,122,92,moderate
2026-05-14T00:00Z,2026-05-14T00:30Z,93,94,moderate
2026-05-14T00:30Z,2026-05-14T01:00Z,90,87,low
2026-05-14T01:00Z,2026-05-14T01:30Z,94,89,low
2026-05-14T01:30Z,2026-05-14T02:00Z,90,88,low
2026-05-14T02:00Z,2026-05-14T02:30Z,85,92,moderate
2026-05-14T02:30Z,2026-05-14T03:00Z,86,91,moderate
2026-05-14T03:00Z,2026-05-14T03:30Z,90,89,low
2026-05-14T03:30Z,2026-05-14T04:00Z,87,86,low
2026-05-14T04:00Z,2026-05-14T04:30Z,89,94,moderate
2026-05-14T04:30Z,2026-05-14T05:00Z,89,91,moderate
2026-05-14T05:00Z,2026-05-14T05:30Z,88,107,moderate
2026-05-14T05:30Z,2026-05-14T06:00Z,89,114,moderate
2026-05-14T06:00Z,2026-05-14T06:30Z,97,111,moderate
2026-05-14T06:30Z,2026-05-14T07:00Z,97,104,moderate
2026-05-14T07:00Z,2026-05-14T07:30Z,98,102,moderate
2026-05-14T07:30Z,2026-05-14T08:00Z,92,100,moderate
2026-05-14T08:00Z,2026-05-14T08:30Z,90,91,moderate
2026-05-14T08:30Z,2026-05-14T09:00Z,93,80,low
2026-05-14T09:00Z,2026-05-14T09:30Z,90,77,low
2026-05-14T09:30Z,2026-05-14T10:00Z,77,69,low
2026-05-14T10:00Z,2026-05-14T10:30Z,72,65,low
2026-05-14T10:30Z,2026-05-14T11:00Z,64,67,low
2026-05-14T11:00Z,2026-05-14T11:30Z,61,64,low
2026-05-14T11:30Z,2026-05-14T12:00Z,61,61,low
2026-05-14T12:00Z,2026-05-14T12:30Z,55,58,low
2026-05-14T12:30Z,2026-05-14T13:00Z,55,57,low
2026-05-14T13:00Z,2026-05-14T13:30Z,54,61,low
2026-05-14T13:30Z,2026-05-14T14:00Z,54,70,low
2026-05-14T14:00Z,2026-05-14T14:30Z,58,69,low
2026-05-14T14:30Z,2026-05-14T15:00Z,74,69,low
2026-05-14T15:00Z,2026-05-14T15:30Z,70,83,low
2026-05-14T15:30Z,2026-05-14T16:00Z,72,100,moderate
2026-05-14T16:00Z,2026-05-14T16:30Z,82,113,moderate
