year,stateabbr,state,county,measure,data_value,low_confidence_limit,high_confidence_limit
2023,AK,Alaska,Aleutians West,High blood pressure among adults,31.1,27.3,34.9
2023,AK,Alaska,Aleutians West,Self-care disability among adults,4.3,3.9,4.8
2023,AK,Alaska,Aleutians West,Taking medicine to control high blood pressure among adults with high blood pressure,62.3,58.0,66.5
2023,AK,Alaska,Aleutians West,Coronary heart disease among adults,5.9,5.3,6.6
2023,AK,Alaska,Aleutians West,Loneliness among adults,40.6,35.1,46.5
2023,AK,Alaska,Aleutians West,Lack of reliable transportation in the past 12 months among adults,15.7,13.8,18.1
2023,AK,Alaska,Anchorage,Frequent mental distress among adults,17.2,15.4,19.1
2023,AK,Alaska,Anchorage,Coronary heart disease among adults,5.0,4.4,5.7
2023,AK,Alaska,Anchorage,High cholesterol among adults who have ever been screened,32.7,29.9,35.9
2023,AK,Alaska,Anchorage,Cancer (non-skin) or melanoma among adults,8.7,7.9,9.6
2023,AK,Alaska,Anchorage,Frequent mental distress among adults,15.1,13.4,16.9
2023,AK,Alaska,Anchorage,Mobility disability among adults,21.7,19.8,24.1
2023,AK,Alaska,Anchorage,Mobility disability among adults,10.5,9.2,11.9
2023,AK,Alaska,Anchorage,Visits to doctor for routine checkup within the past year among adults,71.8,69.0,74.7
2023,AK,Alaska,Anchorage,Food insecurity in the past 12 months among adults,18.0,15.4,21.2
2023,AK,Alaska,Anchorage,High cholesterol among adults who have ever been screened,33.9,31.2,36.9
2023,AK,Alaska,Anchorage,Current lack of health insurance among adults aged 18-64 years,12.6,10.5,15.0
2023,AK,Alaska,Anchorage,No leisure-time physical activity among adults,17.9,15.2,20.8
2023,AK,Alaska,Anchorage,Independent living disability among adults,5.2,4.3,6.3
2023,AK,Alaska,Anchorage,Chronic obstructive pulmonary disease among adults,4.5,3.8,5.3
2023,AK,Alaska,Anchorage,Hearing disability among adults,6.4,5.7,7.2
2023,AK,Alaska,Anchorage,Received food stamps in the past 12 months among adults,7.4,6.0,8.8
2023,AK,Alaska,Anchorage,Cholesterol screening among adults,76.3,73.8,78.8
2023,AK,Alaska,Anchorage,Fair or poor self-rated health status among adults,20.8,18.4,23.6
2023,AK,Alaska,Anchorage,Visits to doctor for routine checkup within the past year among adults,68.4,65.4,71.8
2023,AK,Alaska,Anchorage,Taking medicine to control high blood pressure among adults with high blood pressure,37.4,34.9,40.3
2023,AK,Alaska,Anchorage,Coronary heart disease among adults,4.9,4.3,5.6
2023,AK,Alaska,Anchorage,Independent living disability among adults,6.8,5.9,7.8
2023,AK,Alaska,Anchorage,Cholesterol screening among adults,85.9,83.9,87.9
2023,AK,Alaska,Anchorage,Housing insecurity in the past 12 months among adults,16.9,14.8,19.1
2023,AK,Alaska,Anchorage,Diagnosed diabetes among adults,14.8,13.4,16.5
2023,AK,Alaska,Anchorage,Any disability among adults,26.7,23.8,29.9
2023,AK,Alaska,Anchorage,Taking medicine to control high blood pressure among adults with high blood pressure,63.8,60.9,66.9
2023,AK,Alaska,Anchorage,Fair or poor self-rated health status among adults,34.0,31.2,37.2
2023,AK,Alaska,Anchorage,Frequent mental distress among adults,15.6,13.9,17.6
2023,AK,Alaska,Anchorage,Food insecurity in the past 12 months among adults,8.5,6.6,10.8
2023,AK,Alaska,Anchorage,Stroke among adults,2.8,2.5,3.2
2023,AK,Alaska,Anchorage,Stroke among adults,3.0,2.7,3.3
2023,AK,Alaska,Anchorage,Cognitive disability among adults,14.6,12.9,16.6
2023,AK,Alaska,Anchorage,Depression among adults,23.6,21.0,26.5
2023,AK,Alaska,Anchorage,Self-care disability among adults,4.9,4.3,5.5
2023,AK,Alaska,Anchorage,Frequent physical distress among adults,10.5,9.0,12.2
2023,AK,Alaska,Anchorage,Loneliness among adults,35.1,31.8,38.8
2023,AK,Alaska,Anchorage,Cholesterol screening among adults,82.7,80.6,84.9
2023,AK,Alaska,Anchorage,Frequent physical distress among adults,12.1,10.8,13.8
2023,AK,Alaska,Anchorage,Taking medicine to control high blood pressure among adults with high blood pressure,70.5,67.5,73.7
