date,respondent,respondent_name,type,type_name,value,unit
2021-10-03,CAL,California,DF,Day-ahead demand forecast,722319,megawatthours
2021-10-03,CAL,California,DF,Day-ahead demand forecast,723576,megawatthours
2021-10-03,CAL,California,DF,Day-ahead demand forecast,723668,megawatthours
2021-10-03,CAL,California,NG,Net generation,554609,megawatthours
2021-10-03,CAL,California,NG,Net generation,553948,megawatthours
2021-10-03,CAL,California,NG,Net generation,552166,megawatthours
2021-10-03,CAL,California,NG,Net generation,554994,megawatthours
2021-10-03,CAL,California,NG,Net generation,554609,megawatthours
2021-10-03,CAL,California,TI,Total interchange,-162883,megawatthours
2021-10-03,CAL,California,TI,Total interchange,-164942,megawatthours
2021-10-03,CAL,California,TI,Total interchange,-166064,megawatthours
2021-10-03,CAL,California,TI,Total interchange,-163582,megawatthours
2021-10-03,CAL,California,TI,Total interchange,-162883,megawatthours
2021-10-04,CAL,California,D,Demand,797522,megawatthours
2021-10-04,CAL,California,D,Demand,795445,megawatthours
2021-10-04,CAL,California,D,Demand,795036,megawatthours
2021-10-04,CAL,California,D,Demand,796319,megawatthours
2021-10-04,CAL,California,D,Demand,797522,megawatthours
2021-10-04,CAL,California,DF,Day-ahead demand forecast,782787,megawatthours
2021-10-04,CAL,California,DF,Day-ahead demand forecast,781758,megawatthours
2021-10-04,CAL,California,DF,Day-ahead demand forecast,780902,megawatthours
2021-10-04,CAL,California,DF,Day-ahead demand forecast,782327,megawatthours
2021-10-04,CAL,California,DF,Day-ahead demand forecast,782787,megawatthours
2021-10-04,CAL,California,NG,Net generation,609488,megawatthours
2021-10-04,CAL,California,NG,Net generation,606264,megawatthours
2021-10-04,CAL,California,NG,Net generation,604714,megawatthours
2021-10-04,CAL,California,NG,Net generation,607289,megawatthours
2021-10-04,CAL,California,NG,Net generation,609488,megawatthours
2021-10-04,CAL,California,TI,Total interchange,-174268,megawatthours
2021-10-04,CAL,California,TI,Total interchange,-175635,megawatthours
2021-10-04,CAL,California,TI,Total interchange,-176913,megawatthours
2021-10-04,CAL,California,TI,Total interchange,-174766,megawatthours
2021-10-04,CAL,California,TI,Total interchange,-174268,megawatthours
2021-10-05,CAL,California,D,Demand,779994,megawatthours
2021-10-05,CAL,California,D,Demand,780954,megawatthours
2021-10-05,CAL,California,D,Demand,781301,megawatthours
2021-10-05,CAL,California,D,Demand,780691,megawatthours
2021-10-05,CAL,California,D,Demand,779994,megawatthours
2021-10-05,CAL,California,DF,Day-ahead demand forecast,760497,megawatthours
2021-10-05,CAL,California,DF,Day-ahead demand forecast,762845,megawatthours
2021-10-05,CAL,California,DF,Day-ahead demand forecast,764634,megawatthours
2021-10-05,CAL,California,DF,Day-ahead demand forecast,761493,megawatthours
2021-10-05,CAL,California,DF,Day-ahead demand forecast,760497,megawatthours
2021-10-05,CAL,California,NG,Net generation,592967,megawatthours
2021-10-05,CAL,California,NG,Net generation,594668,megawatthours
2021-10-05,CAL,California,NG,Net generation,596401,megawatthours
2021-10-05,CAL,California,NG,Net generation,593592,megawatthours
2021-10-05,CAL,California,NG,Net generation,592967,megawatthours
2021-10-05,CAL,California,TI,Total interchange,-176605,megawatthours
2021-10-05,CAL,California,TI,Total interchange,-174484,megawatthours
2021-10-05,CAL,California,TI,Total interchange,-172369,megawatthours
2021-10-05,CAL,California,TI,Total interchange,-175877,megawatthours
