date,base,quote,rate
2021-11-23,USD,KRW,1190.69
2021-11-24,USD,KRW,1188.21
2021-11-25,USD,KRW,1191.34
2021-11-26,USD,KRW,1194.67
2021-11-29,USD,KRW,1192.56
2021-11-30,USD,KRW,1188.32
2021-12-01,USD,KRW,1176.0
2021-12-02,USD,KRW,1176.09
2021-12-03,USD,KRW,1181.51
2021-12-06,USD,KRW,1181.72
2021-12-07,USD,KRW,1177.59
2021-12-08,USD,KRW,1175.55
2021-12-09,USD,KRW,1177.1
2021-12-10,USD,KRW,1181.01
2021-12-13,USD,KRW,1182.48
2021-12-14,USD,KRW,1183.4
2021-12-15,USD,KRW,1185.76
2021-12-16,USD,KRW,1183.29
2021-12-17,USD,KRW,1185.14
2021-12-20,USD,KRW,1191.7
2021-12-21,USD,KRW,1191.14
2021-12-22,USD,KRW,1191.27
2021-12-23,USD,KRW,1187.7
2021-12-24,USD,KRW,1186.87
2021-12-27,USD,KRW,1187.77
2021-12-28,USD,KRW,1187.13
2021-12-29,USD,KRW,1186.46
2021-12-30,USD,KRW,1188.95
2021-12-31,USD,KRW,1188.75
2022-01-03,USD,KRW,1192.78
2022-01-04,USD,KRW,1199.49
2022-01-05,USD,KRW,1196.76
2022-01-06,USD,KRW,1203.76
2022-01-07,USD,KRW,1203.72
2022-01-10,USD,KRW,1197.81
2022-01-11,USD,KRW,1193.41
2022-01-12,USD,KRW,1190.21
2022-01-13,USD,KRW,1185.76
2022-01-14,USD,KRW,1189.19
2022-01-17,USD,KRW,1192.57
2022-01-18,USD,KRW,1192.34
2022-01-19,USD,KRW,1187.4
2022-01-20,USD,KRW,1189.95
2022-01-21,USD,KRW,1191.3
2022-01-24,USD,KRW,1196.4
2022-01-25,USD,KRW,1198.71
2022-01-26,USD,KRW,1197.15
2022-01-27,USD,KRW,1204.75
2022-01-28,USD,KRW,1211.59
2022-01-31,USD,KRW,1209.29
2022-02-01,USD,KRW,1202.14
2022-02-02,USD,KRW,1200.42
2022-02-03,USD,KRW,1203.63
2022-02-04,USD,KRW,1198.57
2022-02-07,USD,KRW,1198.36
2022-02-08,USD,KRW,1199.05
2022-02-09,USD,KRW,1194.33
2022-02-10,USD,KRW,1195.49
2022-02-11,USD,KRW,1194.43
2022-02-14,USD,KRW,1196.98
2022-02-15,USD,KRW,1196.56
2022-02-16,USD,KRW,1197.07
2022-02-17,USD,KRW,1196.75
2022-02-18,USD,KRW,1194.69
2022-02-21,USD,KRW,1193.35
2022-02-22,USD,KRW,1193.21
2022-02-23,USD,KRW,1190.26
2022-02-24,USD,KRW,1207.29
