location,latitude,longitude,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max
Seoul,37.57469,126.96,2025-04-19,17.9,10.5,13.6,22.4,20.4
Seoul,37.57469,126.96,2025-04-20,22.0,9.9,15.1,0.0,5.9
Seoul,37.57469,126.96,2025-04-21,24.5,11.8,17.9,0.0,11.6
Seoul,37.57469,126.96,2025-04-22,17.7,14.9,16.5,28.5,10.1
Seoul,37.57469,126.96,2025-04-23,21.0,9.1,14.9,0.0,8.7
Seoul,37.57469,126.96,2025-04-24,17.6,8.6,12.7,0.0,18.0
Seoul,37.57469,126.96,2025-04-25,16.0,5.8,10.6,0.0,20.0
Seoul,37.57469,126.96,2025-04-26,16.6,5.7,11.4,0.0,15.1
Seoul,37.57469,126.96,2025-04-27,17.1,8.2,12.5,0.0,16.2
Seoul,37.57469,126.96,2025-04-28,18.9,7.8,12.7,0.0,20.7
Seoul,37.57469,126.96,2025-04-29,18.0,6.7,12.2,0.0,11.9
Seoul,37.57469,126.96,2025-04-30,23.4,8.5,15.6,0.0,15.4
Seoul,37.57469,126.96,2025-05-01,14.6,10.4,13.0,18.4,15.7
Seoul,37.57469,126.96,2025-05-02,17.6,7.3,12.2,0.0,18.5
Seoul,37.57469,126.96,2025-05-03,12.9,9.0,10.5,10.0,16.8
Seoul,37.57469,126.96,2025-05-04,17.6,7.4,12.1,0.0,22.8
Seoul,37.57469,126.96,2025-05-05,13.6,7.2,10.8,0.4,9.8
Seoul,37.57469,126.96,2025-05-06,18.2,6.7,12.7,0.0,11.1
Seoul,37.57469,126.96,2025-05-07,18.3,8.2,13.0,0.1,11.0
Seoul,37.57469,126.96,2025-05-08,22.5,8.4,15.3,0.0,10.3
Seoul,37.57469,126.96,2025-05-09,15.2,13.4,14.2,31.2,20.0
Seoul,37.57469,126.96,2025-05-10,14.3,10.9,12.4,8.7,18.4
Seoul,37.57469,126.96,2025-05-11,19.1,8.9,13.6,0.0,11.2
Seoul,37.57469,126.96,2025-05-12,21.2,8.6,15.2,0.0,12.1
Seoul,37.57469,126.96,2025-05-13,24.0,13.1,18.0,0.0,13.1
Seoul,37.57469,126.96,2025-05-14,25.6,12.2,18.9,0.4,13.4
Seoul,37.57469,126.96,2025-05-15,22.7,15.7,18.2,3.6,13.4
Seoul,37.57469,126.96,2025-05-16,23.0,15.8,18.3,18.5,11.2
Seoul,37.57469,126.96,2025-05-17,23.1,14.1,17.5,4.0,20.8
Seoul,37.57469,126.96,2025-05-18,19.5,9.8,14.1,0.0,14.5
Seoul,37.57469,126.96,2025-05-19,19.5,9.9,15.1,0.2,17.9
Seoul,37.57469,126.96,2025-05-20,25.5,16.3,20.5,0.6,17.3
Seoul,37.57469,126.96,2025-05-21,29.5,19.0,23.5,0.1,13.6
Seoul,37.57469,126.96,2025-05-22,26.8,18.4,21.9,0.2,10.5
Seoul,37.57469,126.96,2025-05-23,23.9,14.7,19.6,2.3,12.9
Seoul,37.57469,126.96,2025-05-24,17.5,13.6,15.2,0.8,14.0
Seoul,37.57469,126.96,2025-05-25,21.1,10.6,16.0,0.0,13.1
Seoul,37.57469,126.96,2025-05-26,25.9,12.2,18.6,0.0,11.6
Seoul,37.57469,126.96,2025-05-27,27.0,13.5,19.9,0.2,10.5
Seoul,37.57469,126.96,2025-05-28,26.4,14.2,19.4,2.6,9.2
Seoul,37.57469,126.96,2025-05-29,26.5,14.6,20.6,0.6,11.2
Seoul,37.57469,126.96,2025-05-30,28.5,16.4,22.6,0.0,10.5
Seoul,37.57469,126.96,2025-05-31,28.8,16.6,22.1,0.0,12.5
Seoul,37.57469,126.96,2025-06-01,29.5,16.6,22.6,0.0,13.7
Seoul,37.57469,126.96,2025-06-02,23.9,19.0,20.8,0.7,6.5
Seoul,37.57469,126.96,2025-06-03,25.2,16.9,20.7,0.5,21.0
Seoul,37.57469,126.96,2025-06-04,25.0,15.1,20.3,0.0,26.0
Seoul,37.57469,126.96,2025-06-05,27.2,15.2,21.3,0.0,14.5
Seoul,37.57469,126.96,2025-06-06,29.9,18.6,23.5,0.0,18.1
Seoul,37.57469,126.96,2025-06-07,27.8,18.8,22.9,1.0,17.1
Seoul,37.57469,126.96,2025-06-08,31.0,20.2,24.6,0.9,14.2
Seoul,37.57469,126.96,2025-06-09,29.8,19.5,23.4,0.1,14.0
Seoul,37.57469,126.96,2025-06-10,25.2,19.0,21.2,1.9,15.3
Seoul,37.57469,126.96,2025-06-11,28.0,16.0,22.0,0.0,16.7
Seoul,37.57469,126.96,2025-06-12,33.1,18.0,25.1,0.0,16.9
Seoul,37.57469,126.96,2025-06-13,28.7,20.2,23.9,1.1,11.8
Seoul,37.57469,126.96,2025-06-14,33.0,19.7,25.1,0.6,14.8
Seoul,37.57469,126.96,2025-06-15,32.9,19.5,25.4,9.7,17.9
Seoul,37.57469,126.96,2025-06-16,26.0,20.6,22.7,8.0,17.3
Seoul,37.57469,126.96,2025-06-17,28.1,19.6,23.6,0.0,14.1
Seoul,37.57469,126.96,2025-06-18,30.0,20.1,24.6,0.0,11.5
Seoul,37.57469,126.96,2025-06-19,34.6,21.1,26.9,1.5,16.7
Seoul,37.57469,126.96,2025-06-20,25.1,21.7,23.0,51.7,28.4
Seoul,37.57469,126.96,2025-06-21,23.8,19.8,21.2,1.8,13.4
Seoul,37.57469,126.96,2025-06-22,25.8,17.0,21.4,0.0,11.8
Seoul,37.57469,126.96,2025-06-23,29.3,17.9,23.5,0.0,5.9
Seoul,37.57469,126.96,2025-06-24,27.4,21.2,24.0,0.9,12.5
Seoul,37.57469,126.96,2025-06-25,23.6,19.3,20.9,8.1,11.3
Seoul,37.57469,126.96,2025-06-26,24.5,19.5,21.8,0.4,10.6
Seoul,37.57469,126.96,2025-06-27,27.5,19.4,23.1,1.1,5.7
Seoul,37.57469,126.96,2025-06-28,28.6,22.2,24.8,8.2,9.7
Seoul,37.57469,126.96,2025-06-29,29.4,23.1,25.8,1.0,12.1
Seoul,37.57469,126.96,2025-06-30,29.5,23.5,26.3,1.4,15.3
Seoul,37.57469,126.96,2025-07-01,29.2,24.4,26.3,9.7,14.4
Seoul,37.57469,126.96,2025-07-02,28.9,24.7,26.1,1.1,15.3
Seoul,37.57469,126.96,2025-07-03,30.1,24.4,26.5,0.8,14.1
Seoul,37.57469,126.96,2025-07-04,29.3,23.9,26.0,0.6,15.2
Seoul,37.57469,126.96,2025-07-05,30.6,24.1,26.8,0.5,13.4
Seoul,37.57469,126.96,2025-07-06,31.6,24.4,27.2,0.6,11.7
Seoul,37.57469,126.96,2025-07-07,33.2,24.7,27.9,1.4,10.9
Seoul,37.57469,126.96,2025-07-08,35.5,25.3,30.0,0.2,7.3
Seoul,37.57469,126.96,2025-07-09,35.9,26.2,30.8,0.0,13.3
Seoul,37.57469,126.96,2025-07-10,36.7,25.6,30.7,0.0,17.7
Seoul,37.57469,126.96,2025-07-11,36.5,22.5,29.4,0.0,15.8
Seoul,37.57469,126.96,2025-07-12,37.0,23.3,30.3,0.0,10.9
Seoul,37.57469,126.96,2025-07-13,31.1,24.3,27.3,2.8,9.7
Seoul,37.57469,126.96,2025-07-14,28.9,21.0,23.7,24.5,11.2
Seoul,37.57469,126.96,2025-07-15,24.5,21.0,22.2,11.6,12.1
Seoul,37.57469,126.96,2025-07-16,24.5,21.0,22.4,36.7,22.9
Seoul,37.57469,126.96,2025-07-17,26.8,21.9,23.4,25.9,20.0
Seoul,37.57469,126.96,2025-07-18,27.4,21.9,24.0,42.3,13.5
Seoul,37.57469,126.96,2025-07-19,28.0,21.7,23.8,43.4,17.5
Seoul,37.57469,126.96,2025-07-20,30.4,23.0,26.5,22.4,16.0
Seoul,37.57469,126.96,2025-07-21,29.9,24.6,26.9,0.9,14.0
Seoul,37.57469,126.96,2025-07-22,30.5,23.8,26.9,6.7,11.5
Seoul,37.57469,126.96,2025-07-23,31.2,23.7,27.3,0.0,7.9
Seoul,37.57469,126.96,2025-07-24,32.3,23.9,27.9,0.0,8.1
Seoul,37.57469,126.96,2025-07-25,35.7,24.1,29.8,0.0,5.1
Seoul,37.57469,126.96,2025-07-26,37.8,27.1,32.1,0.0,10.4
Seoul,37.57469,126.96,2025-07-27,38.3,27.8,32.8,1.1,9.9
