date,gamePk,gameDate,season,gameType,status,away_team,home_team,away_score,home_score
2022-04-16,662798,2022-04-16T20:10:00Z,2022,R,Final,Detroit Tigers,Kansas City Royals,1,3
2022-04-16,663238,2022-04-16T20:10:00Z,2022,R,Final,Minnesota Twins,Boston Red Sox,0,4
2022-04-16,663076,2022-04-16T22:10:00Z,2022,R,Final,San Francisco Giants,Cleveland Guardians,4,2
2022-04-16,661416,2022-04-16T22:10:00Z,2022,R,Final,Philadelphia Phillies,Miami Marlins,10,3
2022-04-16,662290,2022-04-16T22:35:00Z,2022,R,Final,Washington Nationals,Pittsburgh Pirates,4,6
2022-04-16,661981,2022-04-16T23:05:00Z,2022,R,Final,Los Angeles Angels,Texas Rangers,7,2
2022-04-16,663266,2022-04-16T23:05:00Z,2022,R,Final,New York Yankees,Baltimore Orioles,5,2
2022-04-16,661335,2022-04-16T23:10:00Z,2022,R,Final,St. Louis Cardinals,Milwaukee Brewers,2,1
2022-04-16,662966,2022-04-17T00:10:00Z,2022,R,Final,Chicago Cubs,Colorado Rockies,6,9
2022-04-16,662206,2022-04-17T01:10:00Z,2022,R,Final,Houston Astros,Seattle Mariners,4,0
2022-04-16,662619,2022-04-17T02:10:00Z,2022,R,Final,Cincinnati Reds,Los Angeles Dodgers,2,5
2022-04-17,663365,2022-04-17T17:05:00Z,2022,R,Final,New York Yankees,Baltimore Orioles,0,5
2022-04-17,662294,2022-04-17T17:35:00Z,2022,R,Final,Washington Nationals,Pittsburgh Pirates,3,5
2022-04-17,663308,2022-04-17T17:35:00Z,2022,R,Final,Minnesota Twins,Boston Red Sox,1,8
2022-04-17,661804,2022-04-17T17:37:00Z,2022,R,Final,Oakland Athletics,Toronto Blue Jays,3,4
2022-04-17,662625,2022-04-17T17:40:00Z,2022,R,Final,Arizona Diamondbacks,New York Mets,0,5
2022-04-17,663132,2022-04-17T17:40:00Z,2022,R,Final,San Francisco Giants,Cleveland Guardians,8,1
2022-04-17,661415,2022-04-17T17:40:00Z,2022,R,Final,Philadelphia Phillies,Miami Marlins,3,11
2022-04-17,661462,2022-04-17T18:10:00Z,2022,R,Final,Tampa Bay Rays,Chicago White Sox,9,3
2022-04-17,661226,2022-04-17T18:10:00Z,2022,R,Final,St. Louis Cardinals,Milwaukee Brewers,5,6
2022-04-17,662038,2022-04-17T18:35:00Z,2022,R,Final,Los Angeles Angels,Texas Rangers,8,3
2022-04-17,662930,2022-04-17T19:10:00Z,2022,R,Final,Chicago Cubs,Colorado Rockies,6,4
2022-04-17,662618,2022-04-17T20:10:00Z,2022,R,Final,Cincinnati Reds,Los Angeles Dodgers,1,9
2022-04-17,662174,2022-04-17T20:10:00Z,2022,R,Final,Houston Astros,Seattle Mariners,2,7
2022-04-17,662234,2022-04-17T23:08:00Z,2022,R,Final,Atlanta Braves,San Diego Padres,1,2
2022-04-17,662700,2022-04-17T18:10:00Z,2022,R,Postponed,Detroit Tigers,Kansas City Royals,,
2022-04-18,663236,2022-04-18T15:10:00Z,2022,R,Final,Minnesota Twins,Boston Red Sox,8,3
2022-04-18,663197,2022-04-18T23:40:00Z,2022,R,Final,Tampa Bay Rays,Chicago Cubs,2,4
2022-04-18,661242,2022-04-18T23:40:00Z,2022,R,Final,Pittsburgh Pirates,Milwaukee Brewers,1,6
2022-04-18,662928,2022-04-19T00:10:00Z,2022,R,Final,Los Angeles Angels,Houston Astros,3,8
2022-04-18,662929,2022-04-19T00:40:00Z,2022,R,Final,Philadelphia Phillies,Colorado Rockies,1,4
2022-04-18,662407,2022-04-19T01:40:00Z,2022,R,Final,Baltimore Orioles,Oakland Athletics,1,5
2022-04-18,662233,2022-04-19T01:40:00Z,2022,R,Final,Cincinnati Reds,San Diego Padres,1,4
2022-04-18,662617,2022-04-19T02:10:00Z,2022,R,Final,Atlanta Braves,Los Angeles Dodgers,4,7
2022-04-18,663087,2022-04-18T22:10:00Z,2022,R,Postponed,Chicago White Sox,Cleveland Guardians,,
2022-04-18,662587,2022-04-18T23:05:00Z,2022,R,Postponed,Arizona Diamondbacks,Washington Nationals,,
2022-04-18,662616,2022-04-18T23:10:00Z,2022,R,Postponed,San Francisco Giants,New York Mets,,
2022-04-19,662587,2022-04-19T17:05:00Z,2022,R,Final,Arizona Diamondbacks,Washington Nationals,1,6
2022-04-19,662583,2022-04-19T23:05:00Z,2022,R,Final,Arizona Diamondbacks,Washington Nationals,0,1
2022-04-19,662350,2022-04-19T19:10:00Z,2022,R,Final,San Francisco Giants,New York Mets,4,5
2022-04-19,662616,2022-04-19T19:15:00Z,2022,R,Final,San Francisco Giants,New York Mets,1,3
2022-04-19,661405,2022-04-19T22:40:00Z,2022,R,Final,St. Louis Cardinals,Miami Marlins,5,1
2022-04-19,662896,2022-04-19T22:40:00Z,2022,R,Final,New York Yankees,Detroit Tigers,4,2
2022-04-19,663249,2022-04-19T23:10:00Z,2022,R,Final,Toronto Blue Jays,Boston Red Sox,1,2
